Domain,URL,Email,Telefon,Branche,Größe,Priorität,Pain Points,Approach,Zahlungsarten
"boesner.com","https://boesner.com","","+4923029106613","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"casper.de","https://casper.de","nutzer@beispiel.de","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, mollie"
"boker.de","https://boker.de","","01812030839","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, klarna"
"hiq24.de","https://hiq24.de","","+492404552222","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"kmcomputer.de","https://kmcomputer.de","","0213943551","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"schuhe24.de","https://schuhe24.de","","01909250854","Mode/Textil","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall | Moderne UX wichtig für Zielgruppe","Kostenlose Analyse anbieten | SW6 Design-Vorteile zeigen","paypal, klarna"
"stratic.de","https://stratic.de","","05131596090","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"alles-zum-schlafen.de","https://alles-zum-schlafen.de","","052759857","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"bbq-toro.de","https://bbq-toro.de","verkauf@cs-trading.de","","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"bunert.de","https://bunert.de","","+4921117546800","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe, amazon_pay"
"copterfarm.de","https://copterfarm.de","","060073331664","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"gartenhausfabrik.de","https://gartenhausfabrik.de","service@gartenhausfabrik.de","030233267170","Garten/Agrar","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"meinhausshop.de","https://meinhausshop.de","info@meinhausshop.de","058388072730753","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"nurgutes.de","https://nurgutes.de","","+495921302790","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"stoffe-werning.de","https://stoffe-werning.de","","079829171","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, stripe"
"wellenshop.de","https://wellenshop.de","","+4935126561113","Sonstiges","Mittel","Hoch","Sicherheitslücken ohne Updates | Umsatzverlust bei Shop-Ausfall","Kostenlose Analyse anbieten","paypal, amazon_pay"
"alango.de","https://alango.de","info@alango.de","015846211","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"alpenclassics.de","https://alpenclassics.de","service@alpenclassics.de","069908550","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"altenbrand.net","https://altenbrand.net","","+496692202290","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"alu-messing-shop.de","https://alu-messing-shop.de","","+4925579296363","Bau/Industrie","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Schnittstellen zu ERP/Warenwirtschaft","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"ariadne.de","https://ariadne.de","","07214647290","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"auragentum.de","https://auragentum.de","info@auragentum.de","040027598","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"azubishop24.de","https://azubishop24.de","","070335487760","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"bb-buch.de","https://bb-buch.de","","000000000197","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"beam-shop.de","https://beam-shop.de","","09783845355757","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"beha-web.de","https://beha-web.de","","+493948181150","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"besserdampfen.de","https://besserdampfen.de","service@besserdampfen.de","+4967539699999","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"bio-naturel.de","https://bio-naturel.de","","0269570051","Food/Genuss","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Strenge Compliance-Anforderungen","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"camp4.de","https://camp4.de","","+4930322966200","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"careshop.de","https://careshop.de","info@careshop.de","070399177","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"classic-kontor.com","https://classic-kontor.com","","+4924319551400","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"classic-kontor.de","https://classic-kontor.de","","+4924319551400","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"dampfdorado.de","https://dampfdorado.de","","+4968196590590","Sport/Freizeit","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"ddv-lokal.de","https://ddv-lokal.de","","072024986","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"designermode.com","https://designermode.com","","+4921618391154","Mode/Textil","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Moderne UX wichtig für Zielgruppe","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"doppellotte.de","https://doppellotte.de","info@doppellotte.de","+4935165353865","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"duschenprofis.de","https://duschenprofis.de","info@duschenprofis.de","003747587","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"enjoyyourcamera.com","https://enjoyyourcamera.com","","05459200576","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"europack24.de","https://europack24.de","info@europack24.de","059288397","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"fansport24.de","https://fansport24.de","kundenservice@fansport24.de","","Sport/Freizeit","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"filzgleiter-shop.de","https://filzgleiter-shop.de","mail@filzgleiter.de","0150749260","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"golflaedchen.de","https://golflaedchen.de","","+496251936990","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"hairprofishop.de","https://hairprofishop.de","","044148075717","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"heidelberger-chlorella.de","https://heidelberger-chlorella.de","info@heidelberger-chlorella.de","075292063","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"hotsound-store.com","https://hotsound-store.com","info@hot-sound.de","0677021582","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"kaffeezentrale.de","https://kaffeezentrale.de","info@kaffeezentrale.de","+492348595820","Food/Genuss","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Strenge Compliance-Anforderungen","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"keylargo-shop.de","https://keylargo-shop.de","","039098710","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"kontaktlinsen.de","https://kontaktlinsen.de","","08009050200","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"laminierfolien-24.de","https://laminierfolien-24.de","kundenservice@laminierfolien-24.de","08008882666","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"led-emotion.de","https://led-emotion.de","","+4951328305530","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"lldesaxe-fashion.de","https://lldesaxe-fashion.de","","+4935127270800","Mode/Textil","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Moderne UX wichtig für Zielgruppe","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"madforshirts.de","https://madforshirts.de","","+4961357066983","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"magic-dessous.de","https://magic-dessous.de","","+493514904208","Mode/Textil","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Moderne UX wichtig für Zielgruppe","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"memo.de","https://memo.de","","01904021344","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"mintkind.com","https://mintkind.com","service@mintkind.com","001923566","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"moryskin.com","https://moryskin.com","support@moryskin.com","020861351","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"motorradbekleidung.de","https://motorradbekleidung.de","","0210721044719221","Mode/Textil","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Moderne UX wichtig für Zielgruppe","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"neutrends.de","https://neutrends.de","","+4961033769080","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"original-flightjackets.com","https://original-flightjackets.com","","+4924319551400","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"osb-sport-begeistert.com","https://osb-sport-begeistert.com","","044717228","Sport/Freizeit","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"outdoor-renner.de","https://outdoor-renner.de","service@outdoor-renner.de","+4987099005055","Garten/Agrar","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"parfuemerie-rook.de","https://parfuemerie-rook.de","","+4951176830000","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"pflanzenhof-online.de","https://pflanzenhof-online.de","","008965566981","Garten/Agrar","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"pink-dots.de","https://pink-dots.de","","057701938","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"reiche-sicherheit.de","https://reiche-sicherheit.de","r.heinrich@reiche-sicherheit.de","034520938700","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"roofers-shop.de","https://roofers-shop.de","","+49255793660","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"schreibwaren-wegmann.de","https://schreibwaren-wegmann.de","","09922609490","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"servermind.de","https://servermind.de","info@dcmind.de","+498930669410","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"sicherheitstechnik-feldmann-shop.de","https://sicherheitstechnik-feldmann-shop.de","werner-feldmann@online.de","+498920232216","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"silber-corner.de","https://silber-corner.de","","038702175","Schmuck/Uhren","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"sonnenmax.de","https://sonnenmax.de","","+492841368770","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"sonnensegel-pina.de","https://sonnensegel-pina.de","","+4923827680922","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"soukdumaroc.de","https://soukdumaroc.de","info@soukdumaroc.de","+492287077327","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"sportklahsen.de","https://sportklahsen.de","info@sportklahsen.de","0496291360","Sport/Freizeit","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"tor7.de","https://tor7.de","","070894167","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"wocashop.de","https://wocashop.de","beratung@wocashop.de","076311832600","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"zooroyal.de","https://zooroyal.de","deineemail@beispiel.de","0017921792","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"as-garten.de","https://as-garten.de","info@as-garten.de","00491805336999","Garten/Agrar","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"davert.de","https://davert.de","info@davert.de","","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"uhrinstinkt.de","https://uhrinstinkt.de","","0111378064088","Schmuck/Uhren","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"weinfreunde.de","https://weinfreunde.de","","06904327344","Food/Genuss","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Strenge Compliance-Anforderungen","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"funktechnik-bielefeld.de","https://funktechnik-bielefeld.de","","015204080","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"shirtinator.de","https://shirtinator.de","","0260130082656","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"rietze.de","https://rietze.de","info@rietze.de","00499187960","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"faller.de","https://faller.de","","070008012","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"grundstoff.net","https://grundstoff.net","service@grundstoff.net","+4961049872250","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"gardinen-sauer.de","https://gardinen-sauer.de","info@gardinen-sauer.de","+497161969353","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"jagido.de","https://jagido.de","","+497802705209","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"markanto.de","https://markanto.de","","+492219723920","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"rc-modell-shop.de","https://rc-modell-shop.de","","+4936202777588","Mode/Textil","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem | Moderne UX wichtig für Zielgruppe","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"tapir-store.de","https://tapir-store.de","mail@tapir-store.de","+493412110300","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"trauringshop24.de","https://trauringshop24.de","","070867715","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"bw-discount.de","https://bw-discount.de","","004985513219857","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"cramershop.com","https://cramershop.com","service@cramershop.com","+494054737850","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"duerninger.de","https://duerninger.de","","+499112342511","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"fotobrenner.de","https://fotobrenner.de","info@fotobrenner.de","09616706050","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"fpvcopter.de","https://fpvcopter.de","service@fpvcopter.de","","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"frogcoffee.de","https://frogcoffee.de","","001530099","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"gradmann1864.de","https://gradmann1864.de","","0599202772905","Sport/Freizeit","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"heunert.de","https://heunert.de","","+4929216890","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
"purenature.de","https://purenature.de","info@purenature.de","06784983990","Sonstiges","Klein","Normal","Sicherheitslücken ohne Updates | Einfache Lösung für komplexes Problem","Paketpreis für Migration nennen | Schnelle Umsetzung betonen","paypal"
